decil,n,score_promedio,tasa_real,diferencia
1,3468,0.00013241627746412514,0.0,-0.00013241627746412514
2,3465,0.00013927011551246595,0.0,-0.00013927011551246595
3,3433,0.00014342901635468254,0.0,-0.00014342901635468254
4,3455,0.000210277043355066,0.0,-0.000210277043355066
5,3462,0.7056998697865664,0.744367417677643,0.038667547891076626
6,3462,0.9998287610018128,1.0,0.00017123899818716204
7,3442,0.9998400723022699,1.0,0.00015992769773010007
8,3456,0.9998859372972094,1.0,0.00011406270279057384
9,3455,0.999929280298386,1.0,7.0719701613986e-05
10,3455,0.9999425578948079,1.0,5.7442105192095916e-05
