Segmento,N,Tardanzas_Reales,Tasa_Real,Alertas,Precision,Recall,FN,Tipo
Same Day,1839,984,0.5350734094616639,786,0.5865139949109415,0.4684959349593496,523,Shipping_Mode
Standard Class,20748,8241,0.3971949103528051,8241,1.0,1.0,0,Shipping_Mode
Second Class,6746,5402,0.8007708271568337,5402,1.0,1.0,0,Shipping_Mode
First Class,5220,5220,1.0,5220,1.0,1.0,0,Shipping_Mode
Western Europe,11778,6841,0.5808286636101205,6720,0.9858630952380952,0.968425668761877,216,Order_Region
Central America,5120,2950,0.576171875,2923,0.9856312008210742,0.9766101694915255,69,Order_Region
Northern Europe,4172,2316,0.5551294343240653,2264,0.9924911660777385,0.9702072538860104,69,Order_Region
Southern Europe,3993,2305,0.5772602053593789,2308,0.9792027729636048,0.9804772234273319,45,Order_Region
Oceania,1367,792,0.5793708851499634,773,0.981888745148771,0.9583333333333334,33,Order_Region
Eastern Asia,1252,727,0.5806709265175719,717,0.9790794979079498,0.9656121045392022,25,Order_Region
Caribbean,1295,711,0.549034749034749,702,0.9814814814814815,0.9690576652601969,22,Order_Region
South America,2815,1605,0.5701598579040853,1638,0.9676434676434676,0.9875389408099688,20,Order_Region
Southeast Asia,1673,973,0.5815899581589958,967,0.9855222337125129,0.9794450154162384,20,Order_Region
South Asia,1088,627,0.5762867647058824,637,0.978021978021978,0.9936204146730463,4,Order_Region
