shipment_id,duration_seconds,distance_meters
SHP_1,52586.7,1254448.9
SHP_4,91357.8,2241886.3
SHP_7,1252.3,19122.0
SHP_9,84115.5,1992559.5
SHP_10,67001.4,1563828.0
SHP_13,172020.8,4367875.0
SHP_15,67428.0,1570137.3
SHP_17,173803.7,4419081.0
SHP_18,863.4,13484.4
SHP_19,1517.9,21515.9
SHP_20,65899.4,1581248.8
SHP_21,87607.5,2077512.8
SHP_23,87904.1,2022149.5
SHP_24,19498.4,463420.7
SHP_25,16113.9,378027.2
SHP_30,77331.8,1828251.4
SHP_34,173399.3,4408596.0
SHP_35,87909.4,2132194.3
SHP_37,67434.6,1563181.8
SHP_38,56383.7,1386262.5
SHP_39,174457.4,4434390.5
SHP_41,81020.6,1966173.8
SHP_42,92006.2,2179316.3
SHP_46,209036.3,5262367.0
SHP_48,88050.2,2076538.5
SHP_50,104011.6,2423308.3
SHP_51,186036.0,4690983.0
SHP_52,77941.4,1848892.1
SHP_57,100025.7,2454280.0
SHP_58,79498.9,1894582.1
SHP_61,1011.5,14813.2
SHP_63,41196.6,971770.0
SHP_64,94232.1,2223476.5
SHP_65,59454.3,1447293.3
SHP_66,86123.5,2048434.8
SHP_69,172332.6,4376352.0
SHP_70,86313.6,2052039.8
SHP_71,84984.9,2022892.9
SHP_72,164106.1,4097328.0
SHP_73,64940.8,1552583.1
SHP_83,197026.8,4896959.0
SHP_84,2944.1,55402.8
SHP_88,84581.4,2011573.0
SHP_92,87390.9,2064551.3
SHP_93,193826.8,4821049.0
SHP_94,212283.1,5315632.0
SHP_96,102169.1,2387835.5
SHP_97,75571.1,1819517.9
SHP_100,213351.8,5344928.0
SHP_101,103016.9,2398663.8
SHP_103,39246.8,928655.6
SHP_104,172163.8,4375336.0
SHP_105,16240.9,381644.7
SHP_107,77364.9,1849717.8
SHP_110,91430.7,2196804.0
SHP_111,196991.3,4894309.0
SHP_112,173573.4,4408762.5
SHP_113,74403.4,1796650.3
SHP_114,100783.6,2351770.5
SHP_116,166708.1,4250005.0
SHP_119,149787.3,3812706.5
SHP_122,173326.0,4403960.5
SHP_123,209122.2,5264171.0
SHP_129,171690.3,4369662.0
SHP_130,86962.4,2058770.5
SHP_131,134256.4,3322435.5
SHP_133,49028.3,1189000.0
SHP_134,1868.2,30477.0
SHP_135,101586.0,2466076.5
SHP_136,44860.2,1091896.3
SHP_139,91866.1,2178121.8
SHP_142,2944.1,55402.8
SHP_146,149086.3,3802294.3
SHP_148,85319.7,2029749.8
SHP_149,195966.0,4872931.0
SHP_154,91503.1,2201372.5
SHP_156,70827.0,1706951.0
SHP_159,81064.3,1926838.1
SHP_162,92377.9,2185889.8
SHP_164,91930.3,2167545.5
SHP_166,164106.1,4097328.0
SHP_167,195164.6,4857697.0
SHP_168,87126.6,2060921.3
SHP_170,87419.6,2064113.5
SHP_171,163264.3,4078517.0
SHP_172,172906.2,4389556.0
SHP_355,171879.9,4372447.0
SHP_357,109748.2,2641785.0
SHP_362,89229.9,2189894.8
SHP_363,92563.9,2174903.3
SHP_367,194812.1,4851714.0
SHP_368,77856.3,1860708.5
SHP_370,1011.5,14813.2
SHP_375,100588.7,2444662.5
SHP_378,81008.9,1926911.8
SHP_381,48812.6,1174470.5
SHP_383,78829.7,1855841.8
SHP_384,197224.9,4914708.0
SHP_385,104115.3,2432383.5
SHP_388,173279.1,4404924.5
SHP_389,91018.5,2127008.0
SHP_391,91817.8,2176293.8
SHP_392,86858.2,2057529.9
SHP_395,95208.2,2255594.3
SHP_396,72891.1,1752600.8
SHP_397,87126.6,2060921.3
SHP_398,87860.2,2070680.4
SHP_401,99531.2,2412613.0
SHP_402,173958.8,4408568.5
SHP_403,829.0,12040.9
SHP_404,99304.8,2319118.5
SHP_405,83735.6,1987803.5
SHP_407,95238.8,2289572.0
SHP_408,87517.0,2073776.8
SHP_411,177152.3,4494380.0
SHP_413,142700.7,3630084.5
SHP_415,87373.1,2065933.9
SHP_416,88107.2,2139925.5
SHP_417,65485.7,1561498.9
SHP_419,91885.0,2177483.3
SHP_421,92107.6,2210788.3
SHP_422,86874.1,2061619.3
SHP_425,93803.1,2179640.0
SHP_428,84997.2,2044331.0
SHP_429,93162.2,2206093.3
SHP_430,97658.9,2303500.0
SHP_431,174393.9,4432570.5
SHP_432,78233.0,1904511.6
SHP_436,194726.0,4840398.0
SHP_437,83638.2,1990711.9
SHP_438,149086.3,3802294.3
SHP_441,167634.2,4273490.0
SHP_444,96597.3,2332888.0
SHP_447,172582.3,4384413.0
SHP_455,2944.1,55402.8
SHP_456,167524.6,4273296.0
SHP_458,174105.5,4426637.5
SHP_459,80239.9,1909812.8
SHP_462,163447.8,4077846.5
SHP_465,87162.2,2069134.5
SHP_466,87755.4,2130976.5
SHP_467,193123.4,4816885.0
SHP_468,87177.4,2061284.1
SHP_470,101339.3,2394117.8
SHP_472,87605.6,2124796.8
SHP_473,72253.4,1746346.0
SHP_474,172869.9,4388552.5
SHP_478,180436.8,4569876.5
SHP_479,163248.1,4062800.0
SHP_480,75571.1,1819517.9
SHP_482,91537.9,2170741.5
SHP_483,44335.4,1083420.0
SHP_484,90712.9,2154108.3
SHP_486,92436.0,2217564.3
SHP_487,195205.8,4850724.0
SHP_488,96073.1,2254668.0
SHP_490,163460.2,4067234.5
SHP_491,209122.2,5264171.0
SHP_493,91088.7,2186005.3
SHP_494,208683.9,5253990.0
SHP_495,83577.0,1988152.5
SHP_498,86123.5,2048434.8
SHP_499,93089.5,2236122.8
SHP_504,92206.9,2213339.8
SHP_508,83273.9,1987586.6
SHP_509,136835.7,3385916.0
SHP_512,169852.2,4310962.0
SHP_517,2436.2,46215.1
SHP_518,83096.4,2031381.0
SHP_520,83360.1,2034890.8
SHP_522,45448.1,1103897.9
SHP_525,172134.7,4381295.5
SHP_526,58487.3,1406357.3
SHP_527,195026.2,4847341.0
SHP_531,102560.3,2390187.5
SHP_534,172416.4,4380671.0
SHP_536,169436.2,4304029.0
SHP_537,196650.7,4892347.0
SHP_539,91882.7,2178535.3
SHP_546,148614.5,3790311.8
SHP_547,82146.6,1949055.8
SHP_548,183379.5,4575739.0
SHP_550,83346.9,2034871.4
SHP_551,174293.8,4426932.5
SHP_552,167128.6,4261510.0
SHP_554,91885.0,2177483.3
SHP_557,193560.8,4813864.0
SHP_562,86704.4,2107340.8
SHP_563,91571.0,2158449.0
SHP_565,120998.1,3079142.3
SHP_567,198025.0,4923556.0
SHP_571,85225.3,2024002.5
SHP_572,850.7,13301.5
SHP_579,141468.0,3605951.3
SHP_581,84581.4,2011573.0
SHP_582,93803.1,2179640.0
SHP_584,170202.7,4335461.5
SHP_589,86785.5,2061830.3
SHP_591,171882.3,4366468.5
SHP_592,193303.4,4820903.0
SHP_595,133682.7,3310257.3
SHP_596,167128.6,4261510.0
SHP_599,87104.4,2060725.8
SHP_600,149667.0,3816064.5
SHP_601,83549.1,1986415.1
SHP_607,95257.2,2244398.0
SHP_608,2543.7,45369.9
SHP_614,73089.7,1756062.1
SHP_616,80371.0,1908570.3
SHP_619,92212.2,2189399.8
SHP_621,80667.7,1911123.1
SHP_622,94271.1,2230195.0
SHP_623,173067.3,4390322.0
SHP_624,79332.3,1866274.6
SHP_627,171483.3,4367100.0
SHP_630,194497.5,4836513.0
SHP_631,75712.1,1818076.0
SHP_633,1599.6,23234.9
SHP_634,20157.2,473578.3
SHP_636,93107.2,2204778.8
SHP_637,87763.4,2077294.1
SHP_638,169527.4,4314905.5
SHP_639,56424.6,1385903.3
